bedrooms,bathrooms,floors,waterfront,view,condition,basement,marla,price
1,1,1,0,0,5,0,1.359040004,6900000
1,1,1,0,0,3,0,1.395770814,6125000
1,1,1,0,0,3,0,1.542694058,7000000
1,1,1,0,0,2,0,1.579424869,2000000
3,1,2,0,0,4,0,1.799809734,3750000
2,1,1,0,0,2,0,1.910002167,4000000
1,1,2,0,0,3,0,2.0201946,8825000
1,1,1,0,0,3,0,2.056925411,7475000
2,1,1,0,0,3,0,2.130387033,2250000
1,1,1,0,0,4,0,2.167117843,5050000
2,1,2,0,0,3,0,2.167117843,9950000
2,1,1,0,0,5,0,2.277310276,10050000
1,1,1,0,0,3,0,2.277310276,3700000
2,1,1,0,0,3,0,2.314041087,3700000
1,1,1,0,0,4,0,2.387502709,3225000
2,1,1,0,0,4,0,2.387502709,5750000
2,1,1,0,0,3,0,2.387502709,7375000
2,1,1,0,0,4,0,2.42423352,2500000
2,1,1,0,0,3,0,2.42423352,4375000
2,1,1,0,0,5,0,2.460964331,6975000
2,1,1,0,0,3,0,2.460964331,4375000
2,1,1,0,0,3,0,2.460964331,6000000
2,1,1,0,0,3,0,2.497695142,2767500
1,1,1,0,0,3,0,2.534425953,4187500
2,1,1,0,0,4,0,2.534425953,3475000
2,1,1,0,0,5,0,2.571156763,3875000
1,1,1,0,0,4,0,2.571156763,7375000
1,1,1,0,0,3,0,2.571156763,8750000
2,1,1,0,0,5,0,2.571156763,5000000
2,1,1,0,0,4,0,2.571156763,6695000
2,1,1,0,0,4,0,2.571156763,7750000
2,1,1,0,0,3,0,2.571156763,4800000
2,1,1,0,0,3,0,2.571156763,6500000
2,1,1,0,0,3,0,2.571156763,9175000
2,1,2,0,0,4,0,2.607887574,10098750
2,1,1,0,0,3,0,2.607887574,5375000
2,1,2,0,0,4,0,2.607887574,9998750
2,1,2,0,0,4,0,2.607887574,9998750
2,1,2,0,0,4,0,2.607887574,10050000
2,1,1,0,0,5,0,2.644618385,6887500
2,1,1,0,0,4,0,2.644618385,5875000
